"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","test_statement_type","test_statement","learn_check_left","learn_check_right","statement_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"cit1n4FwIbjp",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-09 22:41:51",36,"1: male",NA,"correct","correct","correct","correct"
"Q86gY6vwxDSm",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-09 22:41:52",31,"1: male",NA,"correct","correct","correct","correct"
"crHfXJ3iBuoH",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",3,"The left male swam to the female first.","2024-01-09 22:41:52",34,"1: male",NA,"correct","correct","correct","correct"
"KL0X19Nhllau",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",7,"The right male swam to the female first.","2024-01-09 22:41:52",35,"2: female","none","correct","correct","incorrect","incorrect"
"Fsfx1SXJbOTr",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",2,"The left male swam to the female first.","2024-01-09 22:41:53",40,"1: male","None.","correct","correct","correct","correct"
"8gpuHBWYJ3t9",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 22:41:53",54,"2: female",NA,"correct","correct","correct","correct"
"d3dQUA9x56TE",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",4,"The right male swam to the female first.","2024-01-09 22:41:53",28,"2: female","No errors were identified. ","correct","correct","incorrect","incorrect"
"TktTsMoIP3IZ",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",2,"The right male swam to the female first.","2024-01-09 22:41:54",42,"2: female","None, thank you","correct","correct","correct","correct"
"qjLCA4Gp1MNb",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:41:55",51,"2: female","it went well","correct","correct","correct","correct"
"XibwiNsSoDK1",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-09 22:41:56",26,"1: male","No Errors.","correct","correct","correct","correct"
"L9EQ5OjUQzWk",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,"The left male swam to the female first.","2024-01-09 22:41:58",31,"2: female",NA,"correct","correct","correct","correct"
"2HhANC1YJE8P",16,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 22:41:58",33,"2: female","No issues with this survey.","correct","correct","correct","correct"
"ZtjUWbP2VmmX",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:41:59",23,"1: male",NA,"correct","correct","correct","correct"
"q3fb2GFLkOz8",14,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_second","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",2,"The right male swam to the female first.","2024-01-09 22:42:02",49,"1: male","N/A","correct","correct","correct","correct"
"rImGnzuUDSBt",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:42:06",22,"1: male",NA,"correct","correct","correct","correct"
"FnWMiSaEGI0k",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:42:10",37,"1: male",NA,"correct","correct","correct","correct"
"2rL3GahSOUSm",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:42:12",32,"1: male","None, :) ","correct","correct","correct","correct"
"EikE4Bp4t7nx",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The left male swam to the female first.","2024-01-09 22:42:17",32,"2: female",NA,"correct","correct","correct","correct"
"amjbDH6wu8Ha",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 22:42:18",18,"1: male",NA,"correct","correct","correct","correct"
"BKhQjr4EucEI",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 22:42:38",40,"2: female","n/a","correct","correct","correct","correct"
"UaJTlnvo6HXW",12,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",8,"The left male swam to the female first.","2024-01-09 22:42:46",30,"1: male",NA,"correct","correct","correct","correct"
"lvoOTsDH1foc",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",2,"The left male swam to the female first.","2024-01-09 22:42:58",52,"2: female",NA,"correct","correct","correct","correct"
"1l5axY2NppnL",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:44:06",27,"1: male",NA,"correct","correct","correct","correct"
"9AJByW0SSYJi",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",8,"The right male swam to the female first.","2024-01-09 22:44:37",38,"1: male","no no issues that i nooticed ","correct","correct","correct","correct"
"IDfpd1WG7t8n",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",8,"The right male swam to the female first.","2024-01-09 22:46:09",49,"1: male","No errors in the study.","correct","correct","correct","correct"
"q5eXivype7j5",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-09 22:47:09",31,"2: female",NA,"correct","correct","correct","correct"
"Zf4O7Jqj6HKI",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-10 06:52:05",44,"2: female","I see all is good!","correct","correct","correct","correct"
"9Fnv0WYBbHAH",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",9,"The left male swam to the female first.","2024-01-10 06:52:07",45,"2: female",NA,"correct","correct","correct","correct"
"yDvAH9B7nuyj",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-10 06:52:09",41,"2: female",NA,"correct","correct","correct","correct"
"q1rUkiLhZIoa",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-10 06:52:10",47,"2: female",NA,"correct","correct","correct","correct"
"hzHHBQA01wyV",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:11",59,"2: female","No errors","correct","correct","correct","correct"
"GOWUDA92Flbl",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_second","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-10 06:52:12",23,"1: male",NA,"correct","correct","correct","correct"
"6Vlu324YZPNd",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-10 06:52:13",27,"1: male",NA,"correct","correct","correct","correct"
"M78nOZ4ZzsQ9",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:13",30,"1: male",NA,"correct","correct","correct","correct"
"a9vAZJe5ezDd",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-10 06:52:18",52,"1: male","No problems.","correct","correct","correct","correct"
"ADIDMoqhxu1k",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-10 06:52:19",24,"1: male","No Errors","correct","correct","correct","correct"
"mkMJtRLcMDSv",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-10 06:52:21",25,"1: male",NA,"correct","correct","correct","correct"
"UtbsNLiSrCjk",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:21",36,"2: female",NA,"correct","correct","correct","correct"
"g45yj6RKlrfR",14,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_second","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",3,"The right male swam to the female first.","2024-01-10 06:52:26",59,"1: male","none","correct","correct","correct","correct"
"D3Gsd7VTPjBH",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",2,"The left male swam to the female first.","2024-01-10 06:52:28",21,"2: female",NA,"correct","correct","correct","correct"
"oLZbPprDZgMw",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-10 06:52:28",48,"1: male",NA,"correct","correct","correct","correct"
"aZYQKYJY3rDA",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",6,"The left male swam to the female first.","2024-01-10 06:52:28",31,"1: male",NA,"correct","correct","correct","correct"
"OyIzyQ80sXpY",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",7,"The right male swam to the female first.","2024-01-10 06:52:29",46,"2: female",NA,"correct","correct","correct","correct"
"Ncn14xDvs18Y",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-10 06:52:31",31,"2: female","no errors","correct","correct","correct","correct"
"alpAp6Y0jjck",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_second","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",8,"The left male swam to the female first.","2024-01-10 06:52:31",57,"2: female",NA,"correct","correct","correct","correct"
"rnoPeUROWgK9",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-10 06:52:31",36,"2: female",NA,"correct","correct","correct","correct"
"BCZi6sTK4y1B",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The left male swam to the female first.","2024-01-10 06:52:32",24,"2: female","none","correct","correct","correct","correct"
"TuObhgDWAI09",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,"The right male swam to the female first.","2024-01-10 06:52:32",24,"3: non-binary",NA,"correct","correct","correct","correct"
"Cy6f1QIQEzPC",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-10 06:52:33",41,"1: male","no errors","correct","correct","correct","correct"
"kP5nKFP8SYhP",1,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-10 06:52:33",52,"1: male",NA,"correct","correct","correct","correct"
"wNqTR2MMAMNk",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,"The right male swam to the female first.","2024-01-10 06:52:36",40,"1: male",NA,"correct","correct","correct","correct"
"pof8zOo5ktQf",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:37",21,"2: female",NA,"correct","correct","correct","correct"
"2ALOfxzuMQwV",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:39",30,"2: female","n/a","correct","correct","correct","correct"
"WE2tGFNpYSiA",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",5,"The left male swam to the female first.","2024-01-10 06:52:39",54,"2: female",NA,"correct","correct","correct","correct"
"agLsfUL2YjmN",14,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_second","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The right male swam to the female first.","2024-01-10 06:52:39",31,"1: male",NA,"correct","correct","correct","correct"
"Lda43B1a6pXy",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",6,"The left male swam to the female first.","2024-01-10 06:52:40",42,"1: male","No problems!","correct","correct","correct","correct"
"RX2LrvQeH02x",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:52:41",65,"1: male","None.","correct","correct","correct","correct"
"52wmONafSUyE",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-10 06:52:44",41,"1: male","None","correct","correct","correct","correct"
"LmoxQkoFaG0C",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_first","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-10 06:52:47",27,"1: male",NA,"correct","correct","correct","correct"
"XpGsfCjna7Vx",12,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_second","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-10 06:52:47",21,"1: male",NA,"correct","correct","correct","correct"
"VNc8pfkB9XeF",16,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_second","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",3,"The right male swam to the female first.","2024-01-10 06:52:50",30,"2: female",NA,"correct","correct","correct","correct"
"pvuUIUi66TFr",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,"The right male swam to the female first.","2024-01-10 06:52:51",69,"1: male",NA,"correct","correct","correct","correct"
"gLl5olbv4sdq",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-10 06:52:52",62,"1: male","none","correct","correct","correct","correct"
"PcphXli399NX",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-10 06:52:52",44,"2: female","no errors","correct","correct","correct","correct"
"NaiUTfFVtRwi",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","trigger_second","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,"The left male swam to the female first.","2024-01-10 06:52:53",44,"1: male",NA,"correct","correct","correct","correct"
"TaPO4D8Pq29C",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",7,"The right male swam to the female first.","2024-01-10 06:52:55",52,"1: male",NA,"correct","correct","correct","correct"
"iMg30FYAhJrj",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The right male swam to the female first.","2024-01-10 06:53:00",41,"1: male",NA,"correct","correct","correct","correct"
"eDZmGzkJlHY1",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",7,"The right male swam to the female first.","2024-01-10 06:53:02",37,"2: female","no errors","correct","correct","correct","correct"
"u0ib4m6vydHI",7,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_first","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",7,"The right male swam to the female first.","2024-01-10 06:53:03",31,"1: male",NA,"correct","correct","correct","correct"
