"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_left","learn_check_right","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"44tnNbM8W4v5",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,3,8,"The left male swam to the female first.","2023-10-26 07:48:16",32,"2: female",NA,"correct","correct","correct","correct"
"AX1cavoUtrtd",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 07:48:18",32,"2: female",NA,"correct","correct","correct","correct"
"SEqqo2zGwz2M",3,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,1,1,7,"The left male swam to the female first.","2023-10-26 07:48:59",62,"2: female",NA,"correct","correct","correct","correct"
"cEq8L0svWJvn",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,5,10,5,"The left male swam to the female first.","2023-10-26 07:49:20",34,"1: male",NA,"correct","correct","correct","correct"
"IWXtRV02DOAp",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,10,"The right male swam to the female first.","2023-10-26 07:52:32",40,"2: female","no errors","correct","correct","correct","correct"
"ZPhevVjxiyCM",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",1,10,1,5,"The right male swam to the female first.","2023-10-26 07:58:30",55,"1: male",NA,"correct","correct","correct","correct"
"HY5Q0Umpli4Y",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,0,"The left male swam to the female first.","2023-10-26 07:58:40",53,"1: male",NA,"correct","correct","correct","correct"
"v7VEnvvTDkq2",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",2,9,9,2,"The right male swam to the female first.","2023-10-26 07:58:40",40,"2: female",NA,"correct","correct","correct","correct"
"d4vmnKXKl27V",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,0,0,"The right male swam to the female first.","2023-10-26 07:58:41",54,"2: female","no errors detected ,thanks ","correct","correct","correct","correct"
"Bsa8jmQwC1nm",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",8,0,0,9,"The left male swam to the female first.","2023-10-26 07:58:44",22,"2: female","none","correct","correct","correct","correct"
